OBJECTID,Shape,id_compraventa,ano,coordenada_x,coordenada_y,nombre_compraventa,comuna_correg,barrio,direccion,tipo_compraventa,clasificacion_compraventa,tiempo_actividad_meses,dest_res_peligrosos,componentes_capacitado,entidades_capacitadoras,capacitado_ot_programas,cual_ot_programa,calidad_materiales,lunes,martes,miercoles,jueves,viernes,sabado,domingo,recoleccion_domicilio,compraventa_movil,compra_vende_almacena,beneficio,transf_materiaprima,transf_productermi,carro,motocarro,camioneta,camion,personal_contratado,personas_contratadas,f_diligenciamiento,Country
56,"(4712769.427700001, 2247136.465)",1363,2012,4712769.428,2247136.465,Chatarrer�a La Salle,Comuna 16 Bel�n,Bel�n,CR 42 B  89 A  8,Formal,Compra y Venta de material,180,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 14:35,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"(4718118.7506, 2252861.951199999)",1364,2012,4718118.751,2252861.951,Chatarrer�a La 91,Comuna 3 Manrique,La Salle,CR 39   91   27,Formal,Compra y Venta de material,48,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,1,10/26/2012 14:45,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"(4718317.2372, 2252068.9415000044)",1365,2012,4718317.237,2252068.942,Recicladora El Jard�n,Comuna 3 Manrique,Santa In�s,CL 84   36 C  12,Formal,Compra y Venta de material,12,No los recolectan.,Legal,Municipio de Medell�n.,Si,Legal.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,No,0,10/26/2012 15:00,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"(4717984.5167, 2250639.0676000006)",1366,2012,4717984.517,2250639.068,Compraventa La Marina,Comuna 3 Manrique,Manrique Oriental,CR 38   67   7,Formal,Compra y Venta de material,60,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,Si,Si,Si,1,29:01.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"(4718201.6239, 2250897.630999999)",1367,2012,4718201.624,2250897.631,Reciclaje El Gait�n,Comuna 3 Manrique,Manrique Oriental,CR 36   69   111,Informal,Compra y Venta de material,48,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 15:53,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"(4716618.985099999, 2251939.530500002)",1368,2012,4716618.985,2251939.531,Comercializadora de Envases y Excedentes Reciclabl,Comuna 4 Aranjuez,Miranda,CR 51   79   50,Formal,Compra y Venta de material,96,No los manipula.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,Si,Si,No,No,No,No,Si,12,10/26/2012 16:37,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"(4716576.8523, 2251844.7195999995)",1369,2012,4716576.852,2251844.72,Leo Moncada,Comuna 4 Aranjuez,Miranda,CR 51   78   41,Informal,Transformaci�n,2,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,No,No,No,No,Si,Si,Si,Si,No,No,No,No,Si,1,10/26/2012 16:46,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"(4716576.610599999, 2251817.8215000015)",1370,2012,4716576.611,2251817.822,Alexander Angel,Comuna 4 Aranjuez,Miranda,CR 51   78   25,Informal,Compra y Venta de material,5,NR.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,3,10/26/2012 16:56,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"(4715783.033500002, 2250056.7892000005)",2261,2012,4715783.034,2250056.789,JMario,Comuna 10 La Candelaria,Estaci�n Villa,CR 54   57   20,Formal,Compra y Venta de material,12,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,1,16:12.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"(4716785.443000002, 2251711.332699999)",1371,2012,4716785.443,2251711.333,Excedentes Echavarr�a S.A,Comuna 4 Aranjuez,Brasilia,CL 77 AA  50 B  10,Formal,"Compra, Venta y Beneficio",60,Los deposita en la caneca de la basura.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,6,10/26/2012 17:11,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"(4714433.929200001, 2249515.6544000003)",1372,2012,4714433.929,2249515.654,Excedentes El Naranjal,Comuna 11 Laureles Estadio,Naranjal,CL 46   63 B  13,Formal,Compra y Venta de material,144,No los manipulan.,Todos los anteriores,"Secretar�a de Medio Ambiente de Medell�n, Esumer, Colegio Mayor de Antioquia, Escuela de Econom�a Solidaria y Univevrsidad de Antioquia.",Si,"Seguridad y convivencia, salud ocupacional.",Regulares,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,2,10/26/2012 16:30,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"(4714339.954100001, 2249210.8675000016)",1373,2012,4714339.954,2249210.868,Excedentes G�mez G�mez,Comuna 11 Laureles Estadio,Naranjal,CR 64   44   59,Formal,Compra y Venta de material,144,No los manejan.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,Si,Si,Si,17,10/26/2012 16:44,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"(4714336.571800002, 2249212.453900004)",1374,2012,4714336.572,2249212.454,Excedentes LM,Comuna 11 Laureles Estadio,Naranjal,CR 64   44   53,Formal,Compra y Venta de material,108,No los manejan.,Todos los anteriores,Secretar�a de Medio Ambiente de Medell�n y Colegio Mayor de Antioquia.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,4,10/26/2012 16:57,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"(4714378.0897, 2249218.2814000025)",1375,2012,4714378.09,2249218.281,Guardadero Blanco y Negro,Comuna 11 Laureles Estadio,Naranjal,CR 64   44   62,Formal,Compra y Venta de material,300,No los manejan.,Ambiental,Actuar Famiempresas.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0,11:02.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"(4716660.0506, 2251712.8663000036)",1376,2012,4716660.051,2251712.866,Duv�n Rico Mu�oz,Comuna 4 Aranjuez,Miranda,CR 50 C  77   41,Informal,Compra y Venta de material,3,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 17:21,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"(4716571.869500001, 2251919.701700004)",1377,2012,4716571.87,2251919.702,Life Plast S.A.S,Comuna 4 Aranjuez,Miranda,CR 51   79   17,Formal,"Compra, Venta y Beneficio",48,Los deposita en la caneca de la basura.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,6,31:04.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"(4716577.065800001, 2251910.8165000007)",1378,2012,4716577.066,2251910.817,Plastisol,Comuna 4 Aranjuez,Miranda,CR 51   79   21,Informal,"Compra, Venta y Beneficio",72,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,4,37:58.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"(4714385.573300001, 2249088.6527999993)",1379,2012,4714385.573,2249088.653,Reciclajes El Primo,Comuna 11 Laureles Estadio,San Joaqu�n,CR 63 D  43   67,Formal,Compra y Venta de material,360,No los manejan.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,6,10/26/2012 17:30,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"(4714387.4608, 2249064.728100002)",1380,2012,4714387.461,2249064.728,Reciclaje Arraval,Comuna 11 Laureles Estadio,San Joaqu�n,CR 63 D  43   33,Formal,Compra y Venta de material,240,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n y Asemar.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,Si,Si,1,41:09.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"(4714387.3506, 2249066.728600001)",1381,2012,4714387.351,2249066.729,Excedente FSC,Comuna 11 Laureles Estadio,San Joaqu�n,CR 63 D  43   35,Formal,Compra y Venta de material,244,No los manejan.,Ambiental,Secretar�a de Medio Ambiente de Medell�n y Asemar.,No,NR.,Regulares,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,3,10/26/2012 17:49,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"(4718804.761000001, 2254150.0208)",1382,2012,4718804.761,2254150.021,chatarrer�a y Excedentes Fercho,Comuna 1 Popular,Santo Domingo Savio No.1,CL 106 A  32   64,Formal,Compra y Venta de material,50,NR.,Organizacional,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,No,No,0,10/28/2012 23:37,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"(4718776.061600001, 2254039.916600002)",1383,2012,4718776.062,2254039.917,Precoambiental,Comuna 1 Popular,Santo Domingo Savio No.1,CR 32 A  102 B  53,Formal,Compra y Venta de material,192,NR.,Todos los anteriores,"Desarrollo Social, Secretar�a de Medio Ambiente de Medell�n, �rea Metropolitana del Valle de Aburr�, Universidad Luis amig�.",Si,"Empresarismo social y solidario, Liderazgo",Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,0,10/29/2012 0:11,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"(4717358.0343, 2255509.878799999)",1526,2012,4717358.034,2255509.879,chatarrer�a Los Morales,Comuna 2 Santa Cruz,La Frontera,CR 52   120   70,Informal,Compra y Venta de material,36,No los compra.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,1,10/29/2012 15:55,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"(4716729.2421, 2254153.6938000005)",1527,2012,4716729.242,2254153.694,Chatarrer�a Santa Cruz,Comuna 2 Santa Cruz,Santa Cruz,CR 52   100   207,Informal,Compra y Venta de material,120,No los compran.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,3,10/29/2012 16:23,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"(4716362.6806, 2253277.0933999997)",1528,2012,4716362.681,2253277.093,Jhon Marlon Alzate,Comuna 4 Aranjuez,Palermo,CR 55   94   36,Informal,Compra y Venta de material,18,Porque est� prohibida la recolecci�n y utilizaci�n de estos materiales.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,1,10/29/2012 16:53,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"(4716299.782900001, 2253049.572400002)",1529,2012,4716299.783,2253049.572,Dep�sitos Envases Oca,Comuna 4 Aranjuez,Palermo,CR 55   91   12,Formal,Compra y Venta de material,204,No los compran.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,6,10/29/2012 17:24,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"(4716247.4136, 2252996.3806000017)",1530,2012,4716247.414,2252996.381,Picadora Las Camelias,Comuna 4 Aranjuez,Moravia,CR 55   90   57,Formal,Compra y Venta de material,96,No los compra.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,6,10/29/2012 17:54,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"(4714536.060400001, 2250257.874099998)",1532,2012,4714536.06,2250257.874,Excedentes Prosperar,Comuna 11 Laureles Estadio,Carlos E. Restrepo,CL 55 A  65   77,Formal,"Compra, Venta y Beneficio",36,Por el peligro en la manipulaci�n y no est� permitido ante la autoridad ambiental. ,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,17,23:00.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"(4717023.9558, 2250328.1739000045)",1534,2012,4717023.956,2250328.174,Ecorecuperar,Comuna 8 Villa Hermosa,La Mansi�n,CR 46   64   28,Formal,Compra y Venta de material,12,NR.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,Si,Si,Si,5,10/29/2012 18:27,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"(4714360.885600001, 2249500.3310000002)",1535,2012,4714360.886,2249500.331,Excedentes Doly,Comuna 11 Laureles Estadio,Naranjal,CR 64   45 A  49,Formal,Compra y Venta de material,96,No los manejan.,Todos los anteriores,"Secretar�a de Medio Ambiente de Medell�n, Colegio Mayor de Antioquia y Asemar.",No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,2,10/29/2012 18:50,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"(4716419.6167, 2252224.5682999995)",1606,2012,4716419.617,2252224.568,Chatarrer�a La 82,Comuna 4 Aranjuez,Miranda,CL 82   51 C  42,Formal,Compra y Venta de material,36,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,Si,3,47:38.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"(4716478.874200001, 2252181.5293000024)",1616,2012,4716478.874,2252181.529,Recicladora Aldao,Comuna 4 Aranjuez,Miranda,CL 82   51 B  47,Formal,"Compra, Venta y Beneficio",48,NR.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,Si,No,No,No,Si,3,10/30/2012 14:05,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"(4716552.7415000005, 2252020.0924000014)",1632,2012,4716552.742,2252020.092,Risoma,Comuna 4 Aranjuez,Miranda,CL 80   51   28,Informal,Compra y Venta de material,6,NR.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0,03:32.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"(4716440.604400001, 2252044.1615000013)",1680,2012,4716440.604,2252044.162,Recuperadora de Desechos Industriales,Comuna 4 Aranjuez,Miranda,CR 51 C  80   27,Formal,Compra y Venta de material,12,Los deposita en la caneca de la basura. ,Todos los anteriores,Municipio de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,No,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,4,10/30/2012 16:23,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"(4716415.5799, 2252088.3720000014)",1684,2012,4716415.58,2252088.372,Excedentes LAMN,Comuna 4 Aranjuez,Miranda,CL 81   51 C  5,Informal,Compra y Venta de material,5,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,5,10/30/2012 15:37,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"(4716273.525000001, 2252962.143500002)",1693,2012,4716273.525,2252962.144,Compraventa Don Mario,Comuna 4 Aranjuez,Bermejal-Los Alamos,CR 55   90   26,Formal,Compra y Venta de material,12,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,Si,Si,No,No,No,No,Si,6,10/30/2012 15:52,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"(4716259.961800001, 2252973.6497000027)",1694,2012,4716259.962,2252973.65,Vahos Quintana,Comuna 4 Aranjuez,Bermejal-Los Alamos,CR 55   90   32,Formal,Compra y Venta de material,24,No los compran.,Organizacional,"Sena,  Bomberos de Medell�n.",No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,5,10/30/2012 16:05,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"(4716224.721100001, 2252983.5022000037)",1695,2012,4716224.721,2252983.502,Excedentes Uno A,Comuna 4 Aranjuez,Moravia,CR 55   90   29,Formal,Compra y Venta de material,60,No los compran.,Organizacional,"Transforma, Parque Industrial de Reciclaje de Moravia, Alcald�a de Medell�n.",No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,Si,Si,Si,3,21:14.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"(4716257.9675, 2252965.8789000027)",1696,2012,4716257.968,2252965.879,Envases Lucho,Comuna 4 Aranjuez,Bermejal-Los Alamos,CR 55   90   27,Informal,Compra y Venta de material,48,No los compra.,Organizacional,Sena y la Alcald�a de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,2,10/30/2012 16:37,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"(4716216.634700001, 2253061.7096999995)",1697,2012,4716216.635,2253061.71,Unidad Productiva Envases Mapa,Comuna 4 Aranjuez,Moravia,CL 91   55   44,Formal,Compra y Venta de material,208,No los compra.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,Si,2,10/30/2012 17:07,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"(4716228.259100001, 2252999.4443999995)",1698,2012,4716228.259,2252999.444,Distribuidora De Envases Romanel,Comuna 4 Aranjuez,Moravia,CR 55   90   51,Formal,Compra y Venta de material,24,No los compra.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,Si,5,10/30/2012 19:05,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"(4716361.110400001, 2252345.4414000027)",1699,2012,4716361.11,2252345.441,Excedentes Antioquia,Comuna 4 Aranjuez,Bermejal-Los Alamos,CR 53 A  82 A  98,Formal,Compra y Venta de material,30,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,6,10/30/2012 20:19,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"(4716498.249300002, 2253117.287300002)",1700,2012,4716498.249,2253117.287,Excedentes Ra�l Restrepo,Comuna 4 Aranjuez,Palermo,CR 52   92   65,Formal,Compra y Venta de material,24,No los manejan.,Organizacional,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/31/2012 17:56,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"(4716116.234, 2252755.030100003)",1861,2012,4716116.234,2252755.03,Ferplas H�ctor,Comuna 4 Aranjuez,Moravia,CR 55   88   41,Formal,Compra y Venta de material,420,No los manejan.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,0,10/31/2012 18:36,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"(4716308.589399999, 2253236.503999999)",1862,2012,4716308.589,2253236.504,Cooperativa Antioque�a de Recolectores,Comuna 4 Aranjuez,Palermo,CR 55 A  93 E  15,Formal,Compra y Venta de material,144,No los recolecta.,Organizacional,Transforma.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,0,10/31/2012 19:04,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"(4716169.4065, 2251908.5822)",1863,2012,4716169.407,2251908.582,Chatarrer�a Los Balsos,Comuna 4 Aranjuez,Moravia,CL 77   54 B  24,Informal,Compra y Venta de material,96,No los maneja.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/31/2012 19:22,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"(4716140.1253, 2251928.571200002)",1864,2012,4716140.125,2251928.571,Chatarrer�a Antares,Comuna 4 Aranjuez,Moravia,CL 77   54 B  55,Formal,Compra y Venta de material,24,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,No,No,No,No,0,11/1/2012 17:57,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"(4715921.2827, 2252159.7404999994)",2012,2012,4715921.283,2252159.741,Excedentes DM,Comuna 4 Aranjuez,Moravia,CL 77   56 B  30,Formal,Compra y Venta de material,84,No los manejan.,Organizacional,�rea Metropolitana del Valle de Aburr�.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,19:58.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"(4715785.418500001, 2250020.9384999983)",2013,2012,4715785.419,2250020.939,Comercializadora Universo Metal,Comuna 10 La Candelaria,Estaci�n Villa,CL 57   53   67,Formal,Compra y Venta de material,180,NR.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,0,31:56.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"(4715814.7415000005, 2250089.2936000023)",2014,2012,4715814.742,2250089.294,Materiales de Segunda Pedro Serna,Comuna 10 La Candelaria,Estaci�n Villa,CL 57 B  53   45,Formal,Compra y Venta de material,360,No los maneja.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,Si,8,11/1/2012 18:47,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"(4715808.272500001, 2250003.4574000016)",2015,2012,4715808.273,2250003.457,Dep�sito de Excedentes El�ctricos Omar Gonz�lez,Comuna 10 La Candelaria,Estaci�n Villa,CL 57   53   39,Informal,Compra y Venta de material,24,NR.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,Si,2,11/1/2012 19:02,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"(4715827.8163, 2250014.571700003)",2016,2012,4715827.816,2250014.572,Segundas Jero,Comuna 10 La Candelaria,Estaci�n Villa,CL 57   53   29,Formal,Compra y Venta de material,48,NR.,Empresarial,Comfama.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,0,11/1/2012 19:24,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"(4715744.919200001, 2250020.8962000012)",2019,2012,4715744.919,2250020.896,Chatarrer�a Chaverra,Comuna 10 La Candelaria,Estaci�n Villa,CR 54   56   69,Informal,Compra y Venta de material,156,NR.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,Si,Planeaci�n Estrat�gica.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,0,11/1/2012 19:45,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"(4716284.826600002, 2251798.9202000014)",2025,2012,4716284.827,2251798.92,Recicladora Manuel,Comuna 4 Aranjuez,Moravia,CR 52   77   17,Formal,Compra y Venta de material,7,NR.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,4,11/1/2012 20:04,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"(4715793.791199999, 2250019.4877000004)",2026,2012,4715793.791,2250019.488,Comercializadora Mundimetal S.A.S,Comuna 10 La Candelaria,Estaci�n Villa,CL 57   53   55,Formal,Compra y Venta de material,2,NR.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0,11/2/2012 9:43,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"(4715846.2315, 2250003.9929000027)",2177,2012,4715846.232,2250003.993,Chatarrer�a Latam�n,Comuna 10 La Candelaria,Estaci�n Villa,CR 53   56   71,Formal,Compra y Venta de material,96,NR.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0,11/2/2012 9:53,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
